Weight_KG,Sex,Length_CM
2.55,Female,26.8
1.07,Male,20
3.177,Female,26.9
3.177,Female,28.8
1.57,Male,23.8
1.24,Male,21.8
2.21,Female,26.5
2.21,Female,28.1
2.21,Male,20.1
2.02,Female,24.1
1.29,Female,20.9
2.72,Unknown,26.6
3,Female,26.8
3,Female,28.9
2.26,Male,21.1
2.26,Female,29.1
2.26,Female,24.6
1.57,Male,20.5
1.57,Female,27.9
1.57,Male,18.8
1.57,Female,27.1
3.19,Female,27.6
3.19,Female,27.9
3.185,Female,28
3.26,Female,28.4
3.55,Female,29.4
1.27,Male,22.8
2.39,Female,27.8
2.39,Male,26.7
2.39,Male,22.2
2.39,Female,25.8
0.83,Male,19.8
1.99,Female,24.9
